Rank Name Score Finish Time Q1 (4) Q2 (6) Q3 (7) Q4 (10)
92|liuyubobobo|13|0:59:59|-1|-1|0:34:17|2|0:49:59|0|-1|-1|
93|sunhao2017|13|1:02:02|-1|-1|0:34:32|1|0:57:02|0|-1|-1|
94|pcwangdx|13|1:06:42|-1|-1|0:37:33|2|0:51:42|1|-1|-1|
95|pmmmm|13|1:08:51|-1|-1|0:48:07|1|1:03:51|0|-1|-1|
96|Simonz|13|1:10:13|-1|-1|0:29:18|2|1:00:13|0|-1|-1|
97|littman|13|1:13:51|-1|-1|0:36:54|0|1:13:51|0|-1|-1|
98|zl1zl|13|1:15:03|-1|-1|0:11:34|0|1:15:03|0|-1|-1|
99|sergey12|13|1:16:10|-1|-1|0:30:10|0|1:16:10|0|-1|-1|
100|jiencao|13|1:16:32|-1|-1|0:25:12|1|1:01:32|2|-1|-1|
101|rzjohn|13|1:16:39|-1|-1|0:43:56|1|1:11:39|0|-1|-1|
102|flyinhigh|13|1:17:39|-1|-1|0:44:44|1|1:12:39|0|-1|-1|
103|wang21|13|1:19:00|-1|-1|0:54:05|1|1:14:00|0|-1|-1|
104|tianhao2|13|1:19:07|-1|-1|0:48:56|3|1:04:07|0|-1|-1|
105|shell32|13|1:21:06|-1|-1|0:48:34|1|1:16:06|0|-1|-1|
106|hydrogen2|13|1:21:26|-1|-1|0:27:17|0|1:16:26|1|-1|-1|
107|buptrh|13|1:24:20|-1|-1|0:48:13|0|1:24:20|0|-1|-1|
108|jacklv|13|1:24:50|-1|-1|0:46:51|3|1:09:50|0|-1|-1|
109|gewuer1987|13|1:25:44|-1|-1|0:37:41|0|1:15:44|2|-1|-1|
110|Victor_FW|13|1:25:51|-1|-1|0:32:33|0|1:25:51|0|-1|-1|
111|salience|13|1:25:54|-1|-1|0:50:08|2|1:15:54|0|-1|-1|
112|thinpiggy|13|1:26:27|-1|-1|0:43:51|2|1:11:27|1|-1|-1|
113|johnwu|13|1:32:24|-1|-1|1:09:44|1|1:17:24|2|-1|-1|
