Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
91|acking-7|18|0:40:16|0:01:14|0|0:11:56|0|0:21:30|0|0:40:16|0|
92|baohiep|18|0:40:17|0:01:04|0|0:05:05|0|0:09:26|0|0:30:17|2|
93|tong-cai-hong|18|0:40:21|0:01:30|0|0:13:29|0|0:20:26|0|0:40:21|0|
94|singh_deopa|18|0:40:24|0:01:06|0|0:03:53|0|0:27:43|0|0:35:24|1|
95|JeffreyLC|18|0:40:32|0:01:03|0|0:04:33|0|0:11:12|0|0:40:32|0|
96|Cookie_Cream|18|0:40:36|0:01:17|0|0:07:16|0|0:12:14|1|0:35:36|0|
97|nanfeng1997|18|0:40:42|0:01:04|0|0:05:45|0|0:09:26|0|0:35:42|1|
98|amano-sei|18|0:40:58|0:00:56|0|0:21:29|0|0:14:40|0|0:40:58|0|
99|cyzh|18|0:41:00|0:01:31|0|0:12:49|0|0:19:42|0|0:36:00|1|
100|HanaYukii|18|0:41:01|0:04:07|0|0:14:14|0|0:18:44|0|0:41:01|0|
101|sanjusss|18|0:41:16|0:01:35|0|0:07:27|0|0:15:16|0|0:41:16|0|
102|wjli|18|0:41:17|0:00:48|0|0:06:00|0|0:09:51|0|0:31:17|2|
103|tiankonguse|18|0:41:38|0:01:44|0|0:10:43|0|0:17:59|0|0:41:38|0|
104|mai-zi-h|18|0:41:42|0:01:10|0|0:10:18|0|0:21:48|0|0:36:42|1|
105|Rook_Lift|18|0:41:46|0:02:23|0|0:05:39|0|0:15:22|0|0:41:46|0|
106|JiaLiLue|18|0:41:46|0:01:10|0|0:07:31|0|0:13:50|0|0:41:46|0|
107|tonghuikang|18|0:41:48|0:00:48|0|0:07:10|0|0:15:49|0|0:36:48|1|
108|huangshan01|18|0:41:53|0:01:58|0|0:11:07|0|0:41:53|0|0:20:47|0|
109|namitnayan32|18|0:42:14|0:03:34|0|0:06:28|0|0:18:26|0|0:42:14|0|
110|SohamKanji|18|0:43:05|0:01:31|0|0:04:27|0|0:20:28|0|0:43:05|0|
111|gradesking|18|0:43:14|0:01:02|0|0:07:36|0|0:13:08|0|0:43:14|0|
112|MickyOr|18|0:43:25|0:02:17|0|0:05:22|0|0:13:57|0|0:43:25|0|
113|anil9717|18|0:43:37|0:01:47|0|0:10:48|0|0:16:47|0|0:43:37|0|
114|zanj0|18|0:44:00|0:01:27|0|0:05:24|0|0:13:58|0|0:39:00|1|
115|tian-tang-6|18|0:44:00|0:02:21|0|0:05:34|0|0:09:24|0|0:34:00|2|
116|petabyte|18|0:44:01|0:01:00|0|0:28:54|0|0:08:33|0|0:44:01|0|
117|DylanSmith|18|0:44:03|0:00:57|0|0:03:57|0|0:11:34|0|0:29:03|3|
118|18o3|18|0:44:15|0:01:32|0|0:06:24|0|0:25:04|1|0:39:15|0|
119|patrick-gu|18|0:44:26|0:01:23|0|0:11:23|0|0:21:17|0|0:44:26|0|
120|ManuShi98|18|0:44:57|0:01:13|0|0:08:25|1|0:18:09|0|0:39:57|0|
121|jeemzz147|18|0:45:32|0:01:21|0|0:17:28|0|0:26:07|0|0:45:32|0|
122|eloquent-carson9uc|18|0:45:55|0:45:55|0|0:44:08|0|0:36:58|0|0:30:03|0|
123|linkzelda-s|18|0:45:59|0:01:15|0|0:11:12|1|0:17:29|0|0:35:59|1|
124|ericlong|18|0:46:02|0:03:29|0|0:03:40|0|0:09:17|0|0:36:02|2|
125|Liam66|18|0:46:03|0:05:29|0|0:10:33|0|0:11:28|0|0:41:03|1|
126|tjntsb|18|0:46:05|0:01:40|0|0:28:47|0|0:24:17|0|0:46:05|0|
127|wang-yang-b|18|0:46:29|0:01:50|0|0:16:01|1|0:21:59|0|0:36:29|1|
128|qui2zical-karen8k|18|0:46:37|0:02:02|0|0:09:15|0|0:16:28|0|0:41:37|1|
129|wengh|18|0:46:56|0:01:19|0|0:08:39|0|0:26:10|0|0:46:56|0|
130|alex391a|18|0:46:59|0:01:32|0|0:10:29|0|0:20:05|0|0:41:59|1|
131|huiget-6|18|0:47:03|0:01:10|0|0:05:49|0|0:16:14|0|0:47:03|0|
132|Tanguilol|18|0:47:07|0:01:06|0|0:03:00|0|0:37:07|0|0:28:15|2|
133|goodman22|18|0:47:14|0:42:03|0|0:45:28|0|0:47:14|0|0:40:56|0|
134|pein531|18|0:47:18|0:02:32|0|0:08:18|0|0:47:18|0|0:32:32|0|
135|leetcode_dafu|18|0:47:23|0:01:36|0|0:09:14|0|0:17:10|1|0:37:23|1|
136|zhzho|18|0:47:23|0:01:19|0|0:15:00|0|0:10:53|0|0:42:23|1|
137|25ra0631|18|0:47:31|0:01:24|0|0:04:09|0|0:19:30|1|0:37:31|1|
138|shreycode|18|0:47:38|0:01:46|0|0:07:14|0|0:19:34|0|0:42:38|1|
139|prajwal_733|18|0:47:43|0:01:38|0|0:05:50|0|0:11:08|0|0:42:43|1|
140|yash_daga|18|0:47:54|0:02:00|0|0:10:05|0|0:15:59|0|0:37:54|2|
141|wangdh15|18|0:47:56|0:42:56|0|0:42:51|0|0:42:45|0|0:42:35|1|
142|privite|18|0:48:20|0:01:20|0|0:43:20|1|0:08:27|0|0:37:53|0|
143|profchi|18|0:48:21|0:01:54|0|0:05:48|0|0:13:26|0|0:43:21|1|
144|keduoli|18|0:48:24|0:01:36|0|0:12:59|0|0:30:18|0|0:48:24|0|
145|confirmation_annihilation|18|0:48:38|0:01:19|0|0:09:45|0|0:18:21|0|0:38:38|2|
146|xi-jun-xiao-zi|18|0:48:46|0:01:20|0|0:07:45|0|0:15:59|0|0:48:46|0|
147|jkq247|18|0:49:03|0:01:13|0|0:10:53|0|0:28:38|0|0:44:03|1|
148|lozy219|18|0:49:05|0:26:10|0|0:33:10|0|0:44:05|0|0:25:07|1|
149|sun-man-man|18|0:49:22|0:01:18|0|0:08:11|0|0:11:14|0|0:39:22|2|
150|rgb234rgb|18|0:49:23|0:00:58|0|0:14:10|0|0:11:24|0|0:44:23|1|
151|i_love_xiaoshagua_cpp|18|0:49:28|0:01:12|0|0:05:04|0|0:10:08|0|0:39:28|2|
