Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
136|meng-duan|18|0:46:26|0:01:58|0|0:03:37|0|0:41:26|1|0:35:21|0|
137|VimT|18|0:46:28|0:03:25|0|0:07:55|0|0:26:42|1|0:41:28|0|
138|ujjawalgupta20|18|0:46:28|0:02:52|0|0:05:41|0|0:14:38|0|0:46:28|0|
139|cyzh|18|0:46:32|0:03:26|0|0:06:49|0|0:13:04|0|0:41:32|1|
140|ak-bot|18|0:46:45|0:36:29|0|0:40:24|0|0:46:45|0|0:23:49|0|
141|lawliet-s|18|0:47:07|0:18:23|0|0:18:15|0|0:37:07|1|0:27:35|1|
142|00zi-jian|18|0:47:14|0:03:33|0|0:06:16|1|0:16:12|1|0:32:14|1|
143|Chandraprabhu|18|0:47:26|0:10:09|0|0:12:47|0|0:21:47|0|0:47:26|0|
144|wxy9018|18|0:47:27|0:02:06|0|0:04:06|0|0:08:18|0|0:37:27|2|
145|kurisu-b|18|0:47:29|0:03:39|0|0:05:14|0|0:30:12|1|0:42:29|0|
146|swift51385|18|0:47:33|0:03:00|0|0:05:33|0|0:27:42|1|0:42:33|0|
147|chiakimio|18|0:47:37|0:02:14|0|0:05:36|1|0:15:08|0|0:37:37|1|
148|ddmike|18|0:47:53|0:02:43|0|0:07:55|1|0:12:15|1|0:37:53|0|
149|FromDihPout|18|0:47:56|0:01:42|0|0:04:00|0|0:13:48|1|0:37:56|1|
150|jdeptct|18|0:48:04|0:02:32|0|0:04:36|0|0:10:12|2|0:28:04|2|
151|KuiyuanFu|18|0:48:07|0:10:13|0|0:14:00|0|0:33:15|0|0:48:07|0|
152|agix|18|0:48:28|0:02:21|0|0:06:02|0|0:16:16|0|0:48:28|0|
153|sunsq|18|0:48:31|0:04:22|0|0:14:15|0|0:30:59|0|0:48:31|0|
154|sohelH|18|0:48:31|0:03:35|0|0:05:53|0|0:14:04|1|0:38:31|1|
155|Ankit_332|18|0:48:56|0:02:42|0|0:05:42|1|0:12:04|0|0:43:56|0|
156|hastings2k|18|0:49:00|0:04:09|0|0:08:54|0|0:26:00|2|0:39:00|0|
157|hp2104|18|0:49:04|0:03:13|0|0:05:55|0|0:09:11|0|0:49:04|0|
158|pinaki_basu|18|0:49:29|0:02:47|0|0:05:23|0|0:14:01|0|0:44:29|1|
