Rank Name Score Finish Time Q1 (4) Q2 (4) Q3 (6) Q4 (6)
88|_nshipilov|20|1:01:28|0:05:20|0|0:47:40|0|0:56:28|1|0:24:58|0|
89|leokan|20|1:01:56|0:07:11|0|0:17:32|2|0:26:09|1|0:41:56|1|
90|shaoxia|20|1:01:56|0:15:09|0|0:56:56|0|0:22:50|1|0:35:39|0|
91|knightzf|20|1:02:13|0:04:55|0|0:28:53|1|0:42:01|0|0:57:13|0|
92|GeneHe|20|1:02:49|0:03:46|0|0:22:58|1|0:32:29|0|0:52:49|1|
93|fsqhxrcjw|20|1:02:55|0:02:06|0|0:11:03|1|0:20:19|1|0:37:55|3|
94|spencerzy|20|1:02:59|0:04:45|0|0:34:13|2|0:43:15|0|0:52:59|0|
95|tianyichen|20|1:03:33|0:07:34|0|0:17:52|0|0:24:19|0|0:53:33|2|
96|1k2222|20|1:03:37|0:10:49|2|0:25:58|1|0:33:28|0|0:43:37|1|
97|huaiyan|20|1:03:56|0:12:07|2|0:35:23|1|0:39:47|0|0:48:56|0|
98|xumzsy|20|1:04:43|0:06:13|0|0:24:08|1|0:36:05|0|0:49:43|2|
99|poiriot|20|1:05:34|0:06:37|0|0:24:55|0|0:42:41|0|1:05:34|0|
100|kAc|20|1:05:53|0:04:05|0|0:14:11|1|0:19:53|0|0:45:53|3|
101|bigmiaomiao|20|1:06:11|0:04:06|0|0:21:59|0|0:35:34|0|0:56:11|2|
102|xh286286|20|1:06:16|0:16:08|0|0:40:15|0|0:50:11|1|1:01:16|0|
103|ohazyi|20|1:06:27|0:18:39|1|0:37:56|0|0:44:54|0|1:01:27|0|
104|lood339|20|1:06:55|0:07:13|0|0:27:26|0|0:47:48|1|1:01:55|0|
105|VictorLi56568|20|1:07:08|0:07:50|0|0:42:08|0|0:52:57|0|1:07:08|0|
106|pg12|20|1:07:47|0:07:15|0|0:20:21|1|0:30:28|0|0:57:47|1|
107|grigorenko|20|1:08:03|0:05:07|0|0:30:40|1|0:46:48|0|0:58:03|1|
108|xpycc|20|1:08:15|0:27:54|0|0:40:36|0|0:50:51|0|1:03:15|1|
109|merryl|20|1:08:31|0:03:15|0|0:20:09|0|0:26:27|0|0:53:31|3|
110|KochiyaOcean|20|1:08:36|0:05:27|0|0:34:45|3|0:42:17|0|0:48:36|1|
111|victorj8|20|1:08:42|0:05:41|0|0:49:24|1|0:23:24|0|1:03:42|0|
112|fst|20|1:08:45|0:06:42|0|0:24:37|1|0:42:39|1|0:58:45|0|
113|renhao0511|20|1:09:00|0:06:35|0|0:36:04|0|0:47:47|2|0:59:00|0|
114|purkyston|20|1:09:23|0:10:01|0|0:38:32|0|0:42:41|0|1:04:23|1|
115|z_zhaojun|20|1:10:02|0:05:14|0|0:39:56|1|0:49:34|0|1:00:02|1|
116|lbjlc|20|1:10:10|0:03:19|0|1:00:10|0|0:17:26|0|0:38:19|2|
