Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (7)
123|CE_RE_WAyitiaolong|19|0:44:00|0:06:16|0|0:12:45|2|0:34:00|0|0:33:29|0|
124|ywwbill|19|0:44:23|0:01:50|0|0:10:15|0|0:19:24|1|0:39:23|0|
125|MdAbedin|19|0:44:36|0:01:53|0|0:07:00|0|0:15:08|0|0:39:36|1|
126|reverent-johnsonyfn|19|0:44:57|0:34:21|0|0:34:25|0|0:39:57|0|0:39:47|1|
127|wei-she-ming|19|0:45:03|0:03:18|0|0:10:29|0|0:22:13|1|0:40:03|0|
128|summerdaway|19|0:45:16|0:25:10|0|0:35:16|2|0:21:22|0|0:21:01|0|
129|kremater|19|0:45:29|0:06:57|0|0:11:46|0|0:23:23|0|0:40:29|1|
130|ryanguorocket|19|0:45:30|0:03:35|0|0:09:31|0|0:40:30|0|0:40:10|1|
131|fpeterfalvi|19|0:45:37|0:35:37|1|0:28:39|1|0:16:22|0|0:15:33|0|
132|prem__|19|0:45:43|0:03:51|0|0:09:09|0|0:45:43|0|0:44:58|0|
133|taiwaiming2003|19|0:46:02|0:10:03|0|0:20:40|0|0:40:40|1|0:41:02|0|
134|lichen-7i|19|0:46:08|0:01:30|0|0:05:55|1|0:26:04|3|0:26:08|0|
135|nan-an-yi-nan-nan-an-ai|19|0:46:11|0:30:18|0|0:36:11|1|0:27:57|0|0:26:44|1|
136|justDummy|19|0:46:12|0:02:49|0|0:12:28|0|0:25:41|0|0:41:12|1|
137|CapooCoder|19|0:46:13|0:15:33|1|0:20:16|1|0:35:32|0|0:36:13|0|
138|WJTung|19|0:46:20|0:07:07|0|0:15:06|0|0:24:52|1|0:41:20|0|
139|recursing-almeidafxd|19|0:46:34|0:02:20|0|0:05:55|0|0:20:05|0|0:41:34|1|
140|destiny-god|19|0:46:34|0:05:03|0|0:22:52|0|0:36:23|0|0:46:34|0|
141|Tudor67|19|0:47:44|0:05:56|0|0:20:59|0|0:22:56|0|0:47:44|0|
142|warner1129|19|0:47:57|0:01:35|0|0:04:55|0|0:14:01|1|0:32:57|2|
143|Maruzensky|19|0:47:59|0:01:43|0|0:05:27|0|0:42:59|1|0:41:41|0|
144|Z5TGGx8hIM|19|0:48:01|0:05:28|0|0:14:19|1|0:28:38|0|0:38:01|1|
145|onlyblues|19|0:48:01|0:01:51|0|0:17:56|0|0:22:24|0|0:43:01|1|
146|JeffreyLC|19|0:49:23|0:04:03|0|0:05:53|0|0:29:25|0|0:49:23|0|
147|xhcqup|19|0:49:48|0:02:37|0|0:22:14|1|0:44:35|0|0:44:48|0|
148|allrounderankit|19|0:49:48|0:45:24|0|0:48:30|0|0:49:26|0|0:49:48|0|
149|xyz_xyz_xyz_xyz|19|0:49:48|0:04:25|0|0:10:06|0|0:20:59|1|0:44:48|0|
150|kml123|19|0:49:51|0:02:10|0|0:11:26|0|0:23:50|0|0:44:51|1|
151|Fasdr|19|0:50:41|0:03:23|0|0:11:57|1|0:24:15|0|0:45:41|0|
152|dhakad_239|19|0:50:46|0:03:54|0|0:12:26|0|0:30:02|1|0:45:46|0|
153|modest-davinciim6|19|0:51:07|0:02:07|0|0:07:57|0|0:51:00|0|0:51:07|0|
154|ForgottenSemicolon|19|0:51:16|0:03:36|0|0:18:50|1|0:46:16|0|0:46:00|0|
155|osxyz|19|0:51:18|0:06:23|0|0:13:29|0|0:51:18|0|0:51:00|0|
156|nemokwy|19|0:51:24|0:01:41|0|0:09:12|0|0:36:00|1|0:46:24|0|
157|invertedwinger|19|0:51:31|0:04:38|0|0:11:54|0|0:26:04|1|0:46:31|0|
158|tom1312004|19|0:51:34|0:03:23|0|0:13:05|2|0:18:31|1|0:26:34|2|
159|turneja|19|0:51:39|0:03:23|0|0:20:40|0|0:50:43|0|0:51:39|0|
160|zeldahuang|19|0:51:55|0:05:04|1|0:14:36|1|0:23:03|1|0:31:55|1|
161|OkamiWang|19|0:51:59|0:02:46|0|0:10:28|1|0:24:45|1|0:41:59|0|
162|agoodloser|19|0:52:07|0:02:50|0|0:09:17|0|0:22:42|1|0:47:07|0|
163|EmZie|19|0:52:23|0:06:15|0|0:14:10|0|0:47:23|0|0:46:39|1|
164|vipbaswan|19|0:52:24|0:03:02|0|0:19:29|1|0:33:08|0|0:47:24|0|
165|topmoklaer|19|0:52:31|0:02:36|0|0:23:05|0|0:52:19|0|0:52:31|0|
166|snowman-7|19|0:52:33|0:07:52|0|0:10:59|0|0:52:33|0|0:52:11|0|
167|VarunR|19|0:52:35|0:06:59|0|0:08:41|0|0:46:57|0|0:47:35|1|
168|AnDVT|19|0:52:41|0:02:17|0|0:10:31|1|0:26:31|0|0:47:41|0|
169|mipha-2022|19|0:52:43|0:39:23|0|0:40:09|0|0:42:33|2|0:42:43|0|
